"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"69","Female",0,"Yes","No",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.85,1328.35
"70","Female",0,"No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",19.2,532.1
"71","Male",1,"Yes","No",51,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",29.45,1459.35
"72","Male",1,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",116.05,8404.9
"73","Female",0,"Yes","Yes",40,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",96.35,3915.4
"74","Female",1,"Yes","No",30,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.05,2627.2
"75","Male",0,"Yes","No",50,"No","No phone service","DSL","Yes","No","No","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",44.45,2188.45
"76","Male",0,"Yes","No",38,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",91.7,3479.05
"77","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.75,19.75
"78","Female",0,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.25,418.4
"79","Female",1,"Yes","No",47,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",67.45,3252
"80","Male",0,"No","No",51,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.45,1042.65
"81","Male",0,"Yes","Yes",51,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","One year","No","Bank transfer (automatic)",84.2,4299.75
"82","Male",0,"Yes","No",32,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.9,2447.95
"83","Male",0,"Yes","No",4,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Mailed check",80.6,319.15
"84","Male",0,"No","No",3,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",69.35,191.35
"85","Male",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.55,223.15
"86","Male",0,"No","Yes",13,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",78.3,1033.95
"87","Female",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.9,247
"88","Female",0,"Yes","Yes",49,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.6,4783.5
"89","Male",0,"No","No",44,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",111.5,4915.15
"90","Male",0,"Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.65,70.65
"91","Female",0,"Yes","No",7,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",81.25,580.1
"92","Male",0,"No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.05,113.85
"93","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",54.75,54.75
"94","Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.4,7719.5
"95","Female",1,"No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,1145.7
"96","Male",0,"Yes","No",62,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","One year","No","Electronic check",96.1,6001.45
"97","Female",0,"No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",112.75,8192.6
"98","Female",0,"No","No",12,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",54.3,654.5
"99","Female",0,"Yes","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.6,55.25
"100","Male",0,"No","Yes",21,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",80.35,1747.2
"101","Female",0,"No","No",23,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",54.4,1249.25
"102","Female",0,"No","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,270.6
"103","Male",0,"Yes","No",33,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",95.8,3036.75
"104","Female",0,"Yes","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.6,917.15
"105","Male",0,"No","No",4,"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Electronic check",86.05,308.1
"106","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Two year","Yes","Electronic check",95.1,6843.15
"107","Male",0,"Yes","No",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",20.05,1036
"108","Female",1,"No","No",28,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",64.45,1867.6
"109","Female",0,"Yes","No",9,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",89.45,853.1
"110","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6
"111","Male",0,"No","No",22,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",59,1254.7
"112","Female",0,"Yes","No",58,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",94.3,5610.15
"113","Female",0,"Yes","Yes",20,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",105.85,2239.65
"114","Male",1,"Yes","No",4,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.4,306.6
"115","Female",0,"No","No",31,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.05,2227.8
"116","Male",0,"No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.55,6362.35
"117","Male",1,"No","No",4,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,422.4
"118","Male",0,"Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",23.55,1723.95
"119","Male",0,"No","Yes",39,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",54.85,2191.7
"120","Female",0,"No","No",24,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",88.95,2072.75
"121","Female",0,"No","No",54,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.1,1079.45
"122","Male",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",20.5,76.95
"123","Female",0,"No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.65,321.65
"124","Female",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.55,33.6
"125","Male",0,"Yes","Yes",25,"Yes","No","DSL","No","Yes","Yes","No","No","No","One year","No","Mailed check",53.65,1355.45
"126","Male",0,"Yes","No",54,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.4,1621.35
"127","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.2,20.2
"128","Male",0,"No","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.45,481.1
"129","Male",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",89.7,6339.3
"130","Female",0,"Yes","Yes",22,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Mailed check",61.15,1422.05
"131","Female",0,"Yes","No",71,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",66.8,4689.15
"132","Female",0,"Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,2149.05
"133","Male",1,"No","No",11,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",78.5,874.2
"134","Male",0,"No","No",34,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.05,852.7
"135","Female",0,"Yes","Yes",30,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.3,602.9
"136","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7
"137","Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.2,477.55
"138","Female",0,"Yes","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",85.2,627.4
"139","Female",0,"Yes","No",58,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109.45,6144.55
"140","Male",1,"No","No",4,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",75.35,273.4
"141","Male",0,"Yes","Yes",38,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",85.4,3297
"142","Female",0,"Yes","No",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",70.9,4911.35
"143","Female",0,"Yes","Yes",2,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",65.7,134.35
"144","Female",1,"No","No",27,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.25,2287.25
"145","Male",0,"No","Yes",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.7,364.55
"146","Female",0,"No","No",36,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.8,3886.45
"147","Female",0,"No","No",16,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.25,1340.1
"148","Male",1,"Yes","No",54,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.05,5295.7
"149","Female",0,"Yes","Yes",23,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",83.8,1900.25
"150","Female",1,"Yes","No",67,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.05,1263.05
"151","Male",0,"Yes","Yes",39,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Electronic check",100,3835.55
"152","Male",0,"Yes","No",60,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",101.15,6067.4
"153","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.3,45.3
"154","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.85,45.85
"155","Male",0,"Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",98.7,6858.9
"156","Female",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.05,237.7
"157","Male",0,"No","No",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.05,7532.15
"158","Male",1,"No","No",9,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,918.6
"159","Female",0,"Yes","No",40,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",78.85,3126.85
"160","Male",0,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",83.05,1799.3
"161","Male",0,"No","No",38,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",95.1,3691.2
"162","Female",0,"No","No",18,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.4,1380.4
"163","Female",1,"No","No",8,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.45,742.95
"164","Male",0,"Yes","Yes",29,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",94.65,2649.15
"165","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.4,20.4
"166","Female",0,"Yes","No",21,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Mailed check",80.9,1714.95
"167","Male",0,"No","No",57,"No","No phone service","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",39.3,2111.45
"168","Male",0,"No","No",28,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",94.5,2659.4
"169","Female",1,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",92.45,6440.25
"170","Female",0,"No","Yes",46,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,4391.25
"171","Male",0,"Yes","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,436.9
"172","Male",0,"No","Yes",39,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Two year","No","Mailed check",100.55,3895.35
"173","Male",0,"Yes","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108.6,7690.9
"174","Female",0,"Yes","Yes",70,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",106.5,7397
"175","Female",1,"No","No",41,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,4133.95
"176","Female",0,"No","No",1,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",82.3,82.3
"177","Female",1,"Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",110.8,7882.25
"178","Female",0,"Yes","Yes",0,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",56.05,56.05
"179","Female",0,"No","No",52,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.75,2535.55
"180","Female",1,"No","No",11,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",55.6,580.8
"181","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",78.05,78.05
"182","Female",0,"No","No",6,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.25,487.05
"183","Male",1,"No","No",24,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",54.8,1291.3
